Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Family_Income,Teacher_Quality,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Exam_Score,Tutoring_Sessions_Group
14,66,2,0,0,7,96,1,1,0,2,0,3,0,0,2,63,3
23,77,1,1,1,7,79,1,1,0,2,1,2,0,0,1,66,0
14,81,1,1,0,9,81,1,1,0,2,0,3,0,2,2,66,1
29,61,1,2,1,7,52,0,1,0,1,2,3,0,1,2,67,3
15,78,2,2,0,9,75,0,1,0,1,0,1,0,0,2,65,1
18,91,0,1,1,5,76,1,1,1,1,1,3,0,0,2,68,1
25,87,1,0,0,9,52,2,1,0,2,2,2,0,0,2,68,1
13,85,2,1,0,6,89,1,1,2,1,1,1,1,0,2,65,0
21,96,1,1,0,8,64,2,1,1,2,1,0,0,1,2,71,2
28,61,1,2,0,6,86,2,1,0,1,0,3,1,2,0,65,1
10,82,1,0,0,8,70,1,1,0,2,2,1,1,2,2,64,3
21,91,2,1,0,6,100,1,1,2,1,1,2,0,2,2,72,0
22,82,1,1,0,9,61,1,1,0,1,0,2,1,0,2,65,2
25,73,1,2,0,8,53,2,0,0,2,0,5,0,2,2,66,0
13,65,0,2,0,6,99,1,1,0,1,0,4,0,0,2,61,0
12,96,0,2,1,8,62,1,1,1,2,0,3,0,1,2,68,2
23,79,2,2,1,8,82,0,1,1,1,0,3,1,2,1,69,3
22,95,1,2,1,6,69,1,1,0,1,2,3,0,1,2,72,1
22,83,1,2,1,5,82,1,1,0,2,2,3,0,2,2,71,2
22,87,2,2,0,5,80,0,1,0,2,0,3,0,0,2,70,2
16,92,1,2,1,5,85,0,1,0,1,1,2,0,0,1,68,1
21,86,0,1,1,5,51,1,1,0,2,2,2,0,0,1,67,2
22,76,1,1,1,8,92,1,1,0,2,1,4,0,0,2,68,1
16,81,1,1,1,8,74,1,1,1,1,2,2,0,2,2,68,3
31,92,1,1,1,4,76,1,1,1,2,2,4,1,0,0,72,2
23,75,0,2,0,6,71,0,1,1,1,1,2,0,1,2,65,0
13,76,1,2,0,5,99,0,1,1,1,2,4,0,0,2,66,2
24,64,1,1,1,8,90,2,1,0,2,0,3,0,0,2,65,0
14,97,1,1,1,6,66,1,1,1,1,0,3,1,1,2,67,2
25,64,1,2,0,5,89,0,1,1,1,1,4,0,1,0,66,2
27,86,1,1,0,7,72,0,1,1,2,2,4,0,0,0,69,1
15,77,1,1,1,8,94,0,1,2,2,2,3,0,1,1,66,0
26,76,1,2,1,6,52,1,1,2,0,1,3,0,0,2,69,4
22,87,2,0,1,7,68,1,0,0,1,1,2,0,0,2,67,0
25,63,2,1,1,6,71,1,1,1,0,2,3,0,0,2,66,1
31,84,1,1,1,9,87,1,1,0,1,1,3,0,1,0,71,2
19,91,2,0,0,6,59,1,1,1,2,1,4,0,1,1,70,5
15,93,2,1,0,6,64,1,1,1,2,2,4,0,2,2,71,2
15,67,1,1,1,7,86,2,1,2,1,2,3,0,2,2,66,1
15,96,1,1,0,7,54,2,0,1,2,0,2,0,0,2,67,3
20,86,2,0,0,8,60,1,1,1,1,1,4,1,1,0,66,1
22,95,1,2,0,9,88,0,1,0,2,2,2,0,2,2,72,0
22,79,1,1,0,9,94,1,1,1,1,2,3,0,0,2,68,1
25,82,1,1,0,6,86,1,0,0,2,2,3,0,0,2,69,3
20,97,1,1,1,7,76,0,1,0,0,2,3,0,2,2,71,2
29,96,1,1,1,9,55,0,0,1,1,1,2,0,2,0,70,0
18,78,1,1,0,9,91,2,1,2,0,1,4,0,1,0,67,2
36,71,1,1,1,6,56,1,1,2,1,2,2,0,0,0,69,2
24,76,0,2,0,8,69,0,1,1,1,1,1,0,0,1,65,2
15,76,2,2,0,8,53,1,1,0,1,1,4,0,1,2,65,1
14,71,1,1,1,8,85,0,1,1,2,1,4,0,0,2,64,2
23,71,0,0,1,9,75,0,1,0,1,0,2,0,1,2,63,1
19,94,0,1,1,5,95,1,1,0,0,2,2,0,0,1,69,3
24,63,1,0,1,6,57,1,1,0,2,1,5,0,1,2,64,1
23,87,2,2,1,8,91,2,1,2,1,2,3,0,0,1,72,0
20,67,0,1,1,7,76,1,1,1,1,1,4,0,0,2,63,0
15,74,0,2,1,4,68,0,1,0,1,2,3,0,0,2,64,3
11,62,1,2,1,5,82,1,1,2,1,1,4,0,1,1,64,3
17,71,1,1,1,8,90,1,1,1,1,2,1,0,2,0,67,5
25,91,1,1,0,8,72,0,1,1,2,2,0,0,2,2,71,2
21,95,1,1,0,5,62,2,1,1,0,2,4,0,0,2,70,1
13,69,1,0,1,9,96,0,1,2,1,1,4,0,0,0,61,0
21,79,1,2,1,7,66,0,1,0,1,0,4,0,1,1,67,2
22,79,2,1,0,5,100,1,1,2,2,0,3,0,1,2,72,4
15,95,0,0,1,6,88,0,1,0,1,0,5,0,0,2,66,1
21,91,1,2,1,5,84,1,1,2,0,1,2,0,0,2,70,1
20,81,2,1,1,6,51,2,0,1,1,1,4,1,0,2,67,3
13,87,2,0,1,4,72,1,1,1,2,1,3,0,0,1,67,2
22,94,0,1,1,7,75,2,1,2,1,1,2,0,1,2,71,2
23,60,2,1,1,8,69,1,1,0,1,2,4,0,1,2,66,1
26,76,1,1,1,5,57,1,1,1,1,2,4,0,0,2,68,1
26,96,1,1,1,7,68,1,1,2,1,2,3,0,1,2,74,3
12,90,1,0,1,6,54,1,0,2,1,1,3,0,0,2,64,1
14,82,1,1,0,8,65,1,1,0,1,2,3,0,1,2,65,1
23,81,0,1,1,4,54,1,1,0,1,1,3,0,1,2,66,1
23,74,1,2,1,8,88,0,1,1,2,0,3,1,0,2,66,0
23,81,1,0,0,4,84,1,1,1,1,2,5,0,0,2,68,2
43,86,2,1,1,7,97,1,1,1,2,2,1,0,0,2,78,2
23,77,1,2,1,6,69,0,1,1,1,2,2,0,0,1,67,1
27,89,1,2,1,6,89,1,1,1,1,2,3,0,0,2,74,3
26,94,1,2,0,5,79,2,1,0,2,2,2,0,2,2,74,1
24,66,1,0,0,9,82,0,1,1,1,1,2,1,0,2,62,1
18,78,2,1,1,5,77,1,0,1,1,1,4,0,0,0,66,2
25,76,1,1,1,5,89,2,1,1,2,1,3,0,0,0,69,3
15,87,1,2,1,10,52,1,1,0,2,2,3,0,1,2,68,2
19,70,1,0,0,7,54,2,1,1,1,2,2,1,0,1,89,0
17,86,2,0,0,5,55,0,0,2,1,1,4,0,1,2,66,2
20,95,0,1,1,7,64,0,0,1,2,1,3,0,0,2,68,2
34,77,1,0,1,7,80,0,1,1,1,2,3,0,0,2,69,0
9,96,1,1,1,4,82,2,0,0,1,2,4,0,1,2,67,0
24,100,2,2,1,6,86,0,1,1,1,2,5,0,0,2,75,2
10,64,1,2,0,7,64,2,1,1,1,2,4,1,0,1,60,0
17,69,2,1,1,9,83,1,1,1,2,2,4,1,1,1,66,2
27,98,0,2,1,7,56,0,1,2,1,2,3,0,1,2,73,1
20,98,1,0,0,7,50,0,1,1,2,1,2,0,0,2,68,1
14,64,1,1,1,6,85,1,1,1,1,1,3,0,0,2,62,0
16,61,1,1,0,9,86,0,1,0,2,2,2,0,0,2,62,2
24,66,2,0,1,8,81,2,1,1,1,1,4,0,0,0,65,1
16,100,2,0,1,8,63,2,1,0,1,0,3,0,0,1,69,2
21,67,1,1,0,7,96,0,1,0,1,1,2,0,0,0,64,3
20,80,1,2,0,5,94,1,1,0,0,2,4,1,2,1,67,0
16,94,2,2,1,9,76,1,1,0,2,1,2,0,0,2,70,0
33,61,1,1,0,7,99,2,1,1,2,1,3,0,1,2,70,2
24,84,2,0,0,7,65,0,1,1,2,2,3,0,0,2,69,3
8,71,2,0,0,8,75,1,1,1,2,2,3,0,0,2,61,0
21,94,1,1,0,7,96,0,1,1,1,1,2,1,2,1,69,0
16,71,2,1,1,5,73,1,1,1,1,1,0,1,0,2,63,1
25,87,1,0,1,7,74,0,1,1,2,1,4,1,0,2,67,0
15,87,0,1,0,4,54,1,1,1,1,1,6,0,0,1,65,1
19,69,1,1,1,7,61,2,1,2,2,1,4,0,0,1,66,3
23,61,0,1,0,9,58,1,1,1,1,1,2,0,0,2,63,4
25,76,1,2,1,4,78,1,1,1,1,0,3,0,0,1,68,2
13,72,2,2,0,7,66,1,1,0,2,1,4,0,2,2,65,0
18,92,0,1,1,8,54,1,1,1,1,2,3,0,0,2,67,1
17,92,0,0,1,8,75,1,1,1,2,1,3,0,2,2,68,2
16,78,1,2,0,6,83,1,1,0,0,1,3,1,1,2,64,0
31,84,1,1,0,5,87,2,1,1,1,2,3,0,1,1,71,0
22,84,1,1,1,6,92,0,1,1,1,1,5,0,0,2,69,0
12,93,1,1,1,9,74,0,1,1,1,1,3,0,2,1,67,1
26,77,0,1,0,4,70,0,1,2,0,1,3,1,1,1,65,2
33,71,0,1,0,5,84,1,1,1,1,2,2,0,0,2,68,1
26,71,2,1,1,6,51,0,0,2,1,2,3,0,2,1,67,1
11,81,1,1,1,6,82,2,1,1,2,1,4,0,0,2,67,3
17,78,1,2,1,7,70,1,0,0,2,2,3,0,0,2,66,2
28,78,2,1,0,9,73,2,1,1,1,1,4,0,1,1,70,2
16,64,2,0,1,5,65,1,1,1,2,2,4,0,2,1,65,3
23,89,0,0,1,7,56,0,1,1,0,2,4,0,2,2,69,4
25,69,1,1,1,7,70,0,0,2,2,2,4,0,0,0,65,1
14,68,2,1,0,6,65,1,1,2,1,1,3,1,1,2,63,1
20,77,1,1,0,5,98,0,1,0,2,1,2,0,2,0,67,2
1,69,2,1,1,6,97,1,1,0,1,2,3,0,0,2,61,1
14,83,1,0,1,6,82,1,1,1,1,2,2,0,0,2,65,0
18,75,0,2,1,8,95,1,1,0,0,1,2,0,1,2,66,1
13,78,1,2,1,8,88,2,1,2,0,1,3,0,1,2,66,0
30,81,1,0,1,5,67,1,1,2,2,0,1,0,0,2,69,1
11,68,1,1,0,6,80,1,1,1,1,2,3,0,1,1,63,2
17,66,0,2,0,6,61,1,1,2,1,2,6,0,2,2,65,1
21,95,0,0,0,10,84,0,1,2,1,1,4,1,0,2,67,0
29,77,2,2,1,7,52,1,1,2,1,0,3,1,0,2,69,2
11,76,0,1,1,5,92,1,1,1,0,0,2,0,2,2,65,4
27,61,1,1,0,6,79,1,1,0,1,2,3,0,0,1,65,1
20,80,2,0,1,6,53,1,1,0,1,1,2,0,1,1,65,0
14,82,1,2,1,8,94,0,1,0,2,0,5,0,1,0,67,2
23,82,0,1,1,8,94,1,1,1,1,0,2,1,0,2,66,1
21,88,1,2,0,7,93,1,1,0,1,2,3,0,0,2,72,4
16,67,1,2,0,7,89,2,1,0,1,2,3,0,1,2,66,3
20,70,1,1,1,7,84,0,0,1,2,1,4,0,1,0,65,2
18,92,2,1,1,7,70,1,1,0,1,1,3,0,0,1,69,1
21,98,1,0,0,4,57,1,1,2,0,1,2,0,0,2,68,2
24,65,1,0,0,7,64,0,1,2,1,1,1,0,2,2,64,1
30,80,0,2,0,6,67,1,1,1,1,0,4,0,1,1,69,3
13,69,1,0,1,5,68,0,1,2,1,2,1,1,0,1,59,0
33,62,2,1,1,10,78,1,1,1,1,2,3,0,0,1,68,0
8,73,1,1,0,7,60,1,0,2,1,1,3,0,0,2,60,0
19,66,1,2,0,7,59,1,1,2,1,0,3,0,0,0,62,1
24,88,0,1,1,6,86,0,1,0,0,0,3,0,1,2,67,0
22,81,0,2,1,8,50,2,1,1,1,2,5,0,0,0,68,4
16,66,1,2,1,5,57,2,1,1,1,2,3,0,0,1,64,3
19,60,1,2,1,7,72,2,1,0,2,2,3,0,0,1,65,3
17,92,0,0,1,6,57,1,1,1,1,2,2,1,0,1,65,2
16,67,2,1,0,8,98,1,1,0,0,1,3,0,0,2,63,0
25,84,1,0,1,6,84,0,1,1,2,2,3,0,0,2,70,2
22,73,0,1,1,9,72,0,1,1,1,2,3,0,0,2,66,3
16,83,1,2,1,7,56,0,1,2,1,2,3,0,0,2,68,4
25,73,0,0,0,8,69,1,1,1,1,2,3,0,0,2,66,3
22,63,0,0,0,8,83,1,1,1,1,0,1,0,1,2,63,3
25,69,2,1,1,9,98,1,1,0,1,0,3,1,1,1,66,1
24,68,1,1,1,6,74,1,1,1,1,1,3,0,0,2,65,1
15,77,1,1,1,8,85,2,1,0,1,2,2,0,2,1,66,1
17,86,2,0,1,4,60,2,1,2,0,2,3,1,1,1,67,2
24,71,1,1,1,7,81,1,1,0,1,2,3,0,0,2,66,0
24,60,0,1,0,6,62,2,1,0,2,0,3,0,0,2,63,4
20,81,1,1,1,5,60,0,1,1,1,2,4,1,0,2,66,3
21,84,1,1,0,6,75,0,0,2,1,2,3,0,1,1,67,1
28,99,1,1,1,6,61,1,0,0,1,2,3,0,0,2,71,1
16,84,1,2,1,7,86,1,1,0,1,1,2,0,0,2,67,1
23,79,1,2,1,6,97,1,1,2,0,1,4,0,0,1,69,1
19,83,1,1,1,7,70,1,1,0,1,0,4,1,2,2,67,2
19,97,2,1,1,6,66,2,1,1,1,2,2,0,1,1,72,2
27,93,2,0,0,6,59,2,1,0,1,0,4,0,0,2,70,2
25,73,1,2,1,7,70,0,1,0,1,1,4,0,2,1,67,0
25,69,0,2,1,7,78,1,1,0,2,0,3,0,0,0,64,0
28,71,1,1,0,8,69,2,1,1,2,1,1,0,1,1,67,1
20,80,0,2,0,8,81,1,1,1,1,0,4,0,2,2,69,3
24,90,0,0,0,7,83,1,1,0,1,2,3,0,1,2,68,0
18,80,1,1,0,8,55,0,1,0,0,1,3,0,0,1,63,2
22,63,1,2,1,7,85,1,1,2,2,0,3,0,1,2,68,4
19,89,2,1,1,7,95,1,1,1,1,2,3,0,0,2,70,0
21,92,1,0,1,8,51,0,1,1,1,1,2,0,1,1,66,0
24,72,2,2,0,6,78,2,1,0,2,0,6,0,0,2,68,0
15,87,2,0,1,4,80,2,1,0,1,2,3,0,1,2,67,0
33,77,0,2,1,5,85,1,1,0,1,1,5,0,0,0,69,0
14,96,1,0,1,9,69,2,1,1,1,0,3,1,1,2,66,0
13,94,1,1,1,7,91,0,1,0,1,1,3,0,0,2,68,3
27,81,1,1,1,7,77,1,1,1,0,1,2,1,2,1,69,2
25,88,1,1,1,7,70,0,1,1,1,2,3,0,2,1,70,1
24,95,1,2,1,8,86,2,1,1,2,1,3,0,1,2,74,1
24,80,1,2,1,7,96,2,1,0,2,2,0,0,1,1,70,0
20,73,1,1,1,7,91,0,1,1,2,1,2,0,2,1,66,1
15,90,2,1,1,8,97,1,1,0,2,0,3,0,1,2,69,1
20,69,1,2,0,6,63,0,1,0,1,0,3,0,2,2,64,0
16,76,0,2,1,8,56,1,0,0,1,2,1,0,0,2,62,1
26,95,0,2,0,7,77,1,1,1,1,1,3,0,0,1,70,0
19,89,2,1,1,7,52,1,1,1,1,0,4,0,0,1,68,2
15,76,1,1,1,6,84,0,1,1,2,1,3,0,1,2,65,0
18,69,2,2,0,7,62,0,1,1,1,2,3,0,0,1,65,3
22,74,2,2,1,6,73,0,1,2,2,2,4,0,2,1,71,3
17,71,2,1,1,9,83,0,1,1,1,1,5,0,0,2,66,2
15,67,1,1,0,4,74,1,1,0,1,0,3,0,1,1,61,0
21,90,0,1,1,8,62,0,1,1,2,0,5,1,0,2,67,2
21,70,0,2,1,4,94,1,1,0,2,1,2,0,1,0,65,0
17,78,1,2,0,8,88,1,1,0,1,0,3,0,0,2,65,0
17,75,1,2,1,6,80,1,0,0,1,2,5,0,0,1,65,1
21,99,1,1,0,8,85,2,1,1,1,2,4,0,0,1,73,4
11,76,1,1,1,7,71,1,0,1,0,1,2,0,1,2,62,1
12,63,1,2,1,5,69,0,1,1,2,0,2,0,1,1,60,0
16,64,0,1,1,9,58,0,1,1,1,2,3,0,1,1,61,1
19,84,0,1,1,8,90,2,1,0,1,1,3,0,2,0,67,2
22,84,2,1,0,8,69,1,0,1,2,1,4,0,1,2,70,3
29,77,0,2,0,6,85,1,1,1,1,2,1,0,1,2,69,1
25,77,1,0,1,8,65,2,0,1,1,2,5,0,1,0,66,0
19,62,1,1,0,5,90,0,1,0,2,2,3,0,1,1,64,2
20,81,2,1,1,4,55,1,1,2,1,2,2,0,2,1,68,1
14,80,2,1,1,5,81,1,1,0,1,2,4,0,2,0,67,1
20,66,1,1,0,6,90,2,1,1,1,1,1,0,1,2,64,0
18,64,1,1,1,6,83,2,1,0,1,2,2,0,1,2,65,2
22,65,0,2,1,6,85,1,1,2,1,2,3,1,2,2,66,2
15,64,1,1,1,6,76,2,1,1,1,2,4,1,0,2,63,2
23,84,2,1,1,6,78,0,1,0,0,0,2,0,0,1,68,2
29,68,1,2,1,4,53,1,1,1,1,0,4,0,0,0,66,1
19,70,1,1,0,7,63,0,0,0,0,1,5,0,0,2,63,3
22,67,0,1,0,7,86,0,1,0,1,2,3,0,0,1,63,1
24,98,2,1,1,6,97,1,1,1,1,2,4,0,1,0,74,1
18,94,1,2,1,9,77,0,1,1,2,2,2,0,1,1,70,1
21,69,2,2,1,7,86,1,1,0,1,1,3,0,0,2,68,2
20,73,1,1,1,7,84,1,1,1,1,1,4,0,2,1,66,0
21,68,1,0,0,8,100,0,1,1,1,2,4,0,0,0,63,0
15,80,0,2,0,5,90,1,1,0,1,2,3,0,1,0,67,4
20,61,1,1,0,7,81,1,1,1,0,1,3,0,0,1,62,1
23,87,2,2,0,8,56,1,1,1,2,2,3,0,2,1,71,1
29,81,2,1,0,7,68,1,1,1,1,1,4,0,2,2,72,2
26,96,1,1,1,5,63,1,0,2,1,2,2,0,2,2,72,1
33,67,1,1,1,6,93,2,1,0,2,1,3,0,0,0,68,0
15,92,1,0,1,7,72,0,1,1,1,0,5,0,0,2,66,1
25,92,1,1,0,4,77,1,1,0,1,2,3,0,0,2,70,0
21,65,1,0,1,5,98,2,0,0,1,2,4,0,2,2,66,2
33,76,1,1,1,10,92,0,1,2,1,2,3,0,2,2,72,1
15,67,2,1,1,8,89,0,1,2,2,1,4,0,0,1,64,0
